account_number,account_type,balance_date,balance,name,date_of_birth,contact_number,first_line_of_address,transaction_id,account_to,transaction_date,value
82023979,Gold,2023-01-31,744.37,Barb Eminson,1974-07-20,077748168711,3149 American Ash Hill,46779876,21694967,2023-02-02,1019.5
65589565,Gold,2023-01-31,321.99,Annabel Medd,1959-02-17,077175713923,24 Warner Junction,57491925,19094015,2023-02-12,1761.1
10553619,Basic,2023-01-31,756.2,Dud Gaunt,1983-12-04,077681115087,3 Canary Avenue,108536548,86207903,2023-02-06,1085.4
18185362,Basic,2023-01-31,609.36,Agace Sporle,1999-02-28,077182359874,96 Emmet Pass,176916326,33632099,2023-02-12,1955.6
91605034,Basic,2023-01-31,560.96,Guthrie Denidge,1970-01-20,077398074919,773 South Terrace,180899074,89503991,2023-02-12,1030.7
23231848,Gold,2023-01-31,27.12,Fee Moore,1944-04-05,077116175185,30 Aberg Way,184329213,79033058,2023-02-04,1454.9
80360244,Basic,2023-01-31,658.35,Elysia Holah,1973-08-10,077662674087,8420 Sugar Center,187032653,54565625,2023-02-06,1947.3
99760030,Gold,2023-01-31,988.0,Mata Brownett,1931-07-16,077314541365,5 Kenwood Park,202263606,22035411,2023-02-02,1028.8
22137086,Basic,2023-01-31,410.35,Kerry Gaze,1992-06-29,077903643984,3 Esker Place,213599996,84448752,2023-02-08,1368.6
55986027,Basic,2023-01-31,38.94,Honey Marns,1956-04-08,077121727227,637 Schmedeman Alley,215959175,64065043,2023-02-13,1619.8
83530155,Basic,2023-01-31,638.57,Doyle Abbyss,1934-05-15,077121818033,1493 Tomscot Road,248526839,98620342,2023-02-12,1006.5
30374840,Basic,2023-01-31,564.42,Devlen Rous,1986-07-25,077351387322,4 Hudson Crossing,252031857,91829198,2023-02-10,1585.0
70214700,Basic,2023-01-31,152.79,Adrianne MacGahey,1934-01-05,077751618342,42 Fisk Park,256401322,30518350,2023-02-06,1498.3
85848442,Gold,2023-01-31,118.46,Ingaborg Bradnocke,1938-03-24,077677453073,146 Waywood Circle,268051321,83659554,2023-02-08,1537.1
81655495,Basic,2023-01-31,315.33,Vernice Blonfield,1933-03-15,077981776102,718 Heath Way,275656446,28911002,2023-02-01,1139.7
74252410,Gold,2023-01-31,278.47,Dulcia Crohan,1969-04-18,077136741404,152 Farmco Park,304709484,91184544,2023-02-11,1207.7
14448009,Joint,2023-01-31,958.46,Brinn Attkins,1993-10-13,077538141937,70105 Hayes Way,319483649,98377332,2023-02-08,1779.2
14448009,Joint,2023-01-31,958.46,Grayce Patel,2000-03-07,077935804352,70105 Hayes Way,319483649,98377332,2023-02-08,1779.2
33832864,Joint,2023-01-31,46.85,Currie Venditto,1930-09-27,077134154463,65851 Lakewood Drive,393779424,88040274,2023-02-06,1743.5
33832864,Joint,2023-01-31,46.85,Miof mela Yurasov,1952-08-02,077801189448,65851 Lakewood Drive,393779424,88040274,2023-02-06,1743.5
70624878,Gold,2023-01-31,328.5,Cobby Jedrzejewsky,1997-10-16,077444846231,93122 Summit Point,495755869,92155262,2023-02-08,1051.3
66341438,Basic,2023-01-31,685.06,Cairistiona Stoeckle,1982-05-12,077580758768,9 Linden Pass,512522472,32192958,2023-02-05,1625.6
24308337,Basic,2023-01-31,764.57,Salvador Faichnie,1990-11-25,077898984641,4832 Claremont Pass,520100581,84964879,2023-02-07,1653.3
78362587,Gold,2023-01-31,390.79,Derrik Fenelow,1950-02-28,077290005814,6627 Union Center,560740182,67147649,2023-02-02,1499.9
21719977,Gold,2023-01-31,758.81,Codi Pattison,1988-10-28,077220586650,7 Messerschmidt Alley,634472038,98568929,2023-02-13,1121.3
85192761,Gold,2023-01-31,982.48,Mohandas Terrazzo,1970-05-24,077357309650,19370 Nancy Junction,634577484,37561049,2023-02-05,1922.5
75762044,Basic,2023-01-31,980.08,Holt Hughes,1954-10-19,077493217015,968 Bartelt Alley,634727354,89225677,2023-02-07,1107.6
65200379,Basic,2023-01-31,4.27,Shirl Schulter,1977-04-27,077688231017,61202 Red Cloud Park,652262031,72986897,2023-02-12,1682.4
70214700,Basic,2023-01-31,152.79,Adrianne MacGahey,1934-01-05,077751618342,42 Fisk Park,664959989,39402264,2023-02-01,1255.3
42652193,Gold,2023-01-31,566.53,Armstrong Conklin,1982-03-19,077615074864,91 Algoma Way,703305565,89438779,2023-02-13,1062.5
26432558,Gold,2023-01-31,465.32,Ruperto Durrand,1984-04-29,077475777928,8 Straubel Pass,752935623,99514298,2023-02-07,1121.9
38921478,Gold,2023-01-31,641.48,Everett Beazer,1933-11-04,077197761533,83244 Veith Avenue,768678234,30565855,2023-02-05,1292.8
17085651,Gold,2023-01-31,945.51,Otho Kelinge,1958-06-03,077524597284,22 Kennedy Trail,784603499,39744047,2023-02-14,1583.4
84406205,Basic,2023-01-31,818.63,Kienan Agate,1952-10-15,077498582538,14 Melvin Pass,791244091,16118153,2023-02-13,1827.6
73328955,Basic,2023-01-31,404.7,Blithe Pettipher,2002-04-22,077404796564,552 Fair Oaks Plaza,799584541,38558525,2023-02-07,1819.0
85140734,Basic,2023-01-31,699.57,Randene Teesdale,1985-06-30,077480366801,255 Gina Junction,829155724,16312979,2023-02-08,2113.3
98882225,Basic,2023-01-31,881.65,Correna Rhymer,1997-05-23,077266417443,64 Portage Court,858330121,11110085,2023-02-05,1712.2
31680976,Gold,2023-01-31,327.79,Germain Clubb,1999-02-23,077336434478,3 Leroy Way,879871237,58668564,2023-02-11,1125.0
99729369,Basic,2023-01-31,751.01,Kerrill Dunstan,1952-02-18,077605122700,921 Merrick Way,908048920,97294152,2023-02-01,1194.4
78362587,Gold,2023-01-31,390.79,Derrik Fenelow,1950-02-28,077290005814,6627 Union Center,921255039,81994568,2023-02-04,1510.5
95390412,Basic,2023-01-31,553.04,Wren Shedd,1991-06-27,077991608640,26466 Ridgeview Court,963672401,42838186,2023-02-09,1176.8
89697097,Gold,2023-01-31,449.71,Chlo Karolczyk,1975-12-10,077396892090,64 Hovde Circle,971308187,64303157,2023-02-08,1737.4
11346696,Basic,2023-01-31,661.99,Sonnnie Lettington,1956-09-10,077690573888,6 Homewood Junction,973180730,26632358,2023-02-13,1487.7
39013360,Joint,2023-01-31,987.76,Nance Swalwel,2003-05-02,077599679728,84 Wayridge Avenue,973381515,36871984,2023-02-12,1663.0
39013360,Joint,2023-01-31,987.76,Eartha Brouncker,1938-08-04,077352327545,84 Wayridge Avenue,973381515,36871984,2023-02-12,1663.0
45706674,Basic,2023-01-31,390.73,Hertha Shuker,1964-01-27,077873638393,693 Kings Way,973893052,51266306,2023-02-01,1187.7
82776251,Basic,2023-01-31,747.11,Morlee Urridge,1979-01-09,077504374105,1 Towne Park,974884987,44228646,2023-02-04,1315.2
19789505,Basic,2023-01-31,893.9,Blanch Kinforth,1949-07-12,077628210281,94115 Clemons Alley,1013772741,48271608,2023-02-13,1665.4
46215382,Gold,2023-01-31,549.77,Dayna Wanklyn,1966-03-26,077602067324,72808 Towne Place,1017702039,23959928,2023-02-03,1569.4
10769769,Basic,2023-01-31,906.91,Babbette Bromby,1936-05-24,077355990194,447 Dwight Circle,1019117125,43623061,2023-02-02,1502.2
13965360,Basic,2023-01-31,299.46,Vincents Speare,1934-07-25,077910043558,82 Delaware Street,1019649690,67862200,2023-02-11,1655.3
60860851,Basic,2023-01-31,17.96,Langston Gunson,1931-04-25,077123651818,34619 Claremont Court,1030564639,87556975,2023-02-07,1372.5
54377130,Basic,2023-01-31,425.86,Carmela Warrilow,1959-08-20,077816201787,8 Laurel Parkway,1054269300,77917083,2023-02-08,1119.6
95307629,Gold,2023-01-31,502.48,Jennee Hoyle,1997-12-14,077534192345,726 Katie Court,1058766783,27108454,2023-02-09,1324.2
10725127,Basic,2023-01-31,984.69,Adeline Oxer,1998-11-22,077810160404,97044 Meadow Vale Avenue,1066977682,84714323,2023-02-04,1268.7
22374612,Gold,2023-01-31,554.31,Eleonore Raphael,1987-06-09,077100932184,2 Farragut Terrace,1097057445,21293955,2023-02-05,1110.7
82920281,Basic,2023-01-31,41.13,Fernanda Silvester,1956-06-22,077264886209,55 Sugar Parkway,1118814797,72008772,2023-02-03,1791.6
38487215,Gold,2023-01-31,780.01,Aubrey Jamieson,1971-02-13,077569932617,3 Tony Lane,1160194041,26432558,2023-02-06,1543.0
16676577,Gold,2023-01-31,407.24,Byrle Bianco,1997-07-12,077766660402,5 Acker Street,1244052175,16013218,2023-02-06,1436.4
48071843,Gold,2023-01-31,997.62,Roxanne Simmon,2001-05-04,077833639896,8768 Sage Junction,1303697149,92319358,2023-02-09,1877.3
37004975,Basic,2023-01-31,635.77,Sid Tinsey,1969-03-20,077762739943,7586 7th Avenue,1369012101,13274987,2023-02-08,1290.2
85265080,Gold,2023-01-31,992.6,Michelina Haeslier,1991-01-20,077330908928,38843 Kensington Junction,1391751167,63298193,2023-02-12,1111.4
66341438,Basic,2023-01-31,685.06,Cairistiona Stoeckle,1982-05-12,077580758768,9 Linden Pass,1422621332,49581833,2023-02-13,1013.4
38749064,Gold,2023-01-31,569.98,Sileas Dogg,1999-05-31,077827162599,17502 Vahlen Way,1492043389,50959802,2023-02-02,1436.3
50547726,Basic,2023-01-31,675.06,Josephine Langeley,1987-01-24,077810152803,154 Arapahoe Crossing,1519453760,49454023,2023-02-07,1070.1
28595197,Basic,2023-01-31,897.68,Karmen Hunnybun,1937-12-04,077261375925,40 Comanche Crossing,1542635829,63845700,2023-02-09,1606.6
81445756,Basic,2023-01-31,267.66,Mic Knok,1996-04-24,077865262263,81645 Menomonie Hill,1571769293,79933337,2023-02-03,1253.8
89632856,Basic,2023-01-31,557.83,Gordan Paul,1972-05-29,077592938722,882 Schurz Lane,1575348896,77841390,2023-02-08,1908.7
46085917,Gold,2023-01-31,340.16,Felicdad Reder,1941-10-20,077889666644,6946 Hoffman Road,1599468271,63298193,2023-02-08,1374.1
64486954,Gold,2023-01-31,378.0,Eliza Morrad,1983-07-11,077443679085,30397 Morningstar Drive,1600966713,62671957,2023-02-11,1454.9
49581833,Basic,2023-01-31,117.56,Sherri Lafee,1977-03-19,077195798418,65178 Lyons Junction,1612227368,36668239,2023-02-02,1640.2
66152145,Basic,2023-01-31,83.45,Arvy Brogiotti,1962-03-25,077284297046,6156 Eggendart Parkway,1619996944,43811112,2023-02-07,1760.8
45089475,Gold,2023-01-31,676.92,Stanley Hayball,1998-02-26,077152885450,7834 Messerschmidt Pass,1716564794,11333185,2023-02-13,1582.4
25746852,Gold,2023-01-31,320.7,Rivkah Iacapucci,1954-08-30,077516033062,14 Weeping Birch Terrace,1716788439,37945317,2023-02-10,1524.4
71332337,Basic,2023-01-31,661.23,Gisella Farady,1930-10-06,077682559522,38 Forest Run Crossing,1740428250,21558805,2023-02-07,1434.3
86218347,Basic,2023-01-31,481.16,Gerik Ripsher,1975-10-19,077881980183,74304 Kropf Parkway,1841176222,81994568,2023-02-10,1463.6
27596004,Gold,2023-01-31,505.73,Garald Venny,1965-07-27,077535383868,9 Buell Hill,1857908597,41542689,2023-02-12,1255.7
38606148,Gold,2023-01-31,956.59,Sibelle Fryd,1955-04-17,077447580226,3 Nova Lane,1858273145,43597919,2023-02-12,1323.4
75134291,Basic,2023-01-31,903.25,Corabel Leisman,1948-10-10,077782076118,22 Weeping Birch Point,1893648036,58925998,2023-02-12,1261.6
76847816,Gold,2023-01-31,197.8,Maribeth L'Episcopio,1944-12-04,077146390021,81708 Almo Lane,1911852973,72716288,2023-02-07,1282.4
38903150,Basic,2023-01-31,263.28,Noellyn Scotney,1985-08-28,077760234692,24 Nancy Terrace,1912023679,50959802,2023-02-14,1157.1
59876714,Basic,2023-01-31,938.46,Saudra Aldritt,1935-02-24,077140080643,50689 Homewood Avenue,1919089853,54300071,2023-02-13,1535.7
98886699,Basic,2023-01-31,300.31,Hattie Alred,1975-11-14,077877076782,3638 Jenifer Alley,1922898643,67270354,2023-02-10,1124.9
21032760,Gold,2023-01-31,541.33,Miguelita Gutsell,1956-01-08,077885021967,2732 Mcbride Drive,1931218919,34482885,2023-02-11,1161.1
57224848,Joint,2023-01-31,30.59,Maxine Mitkov,2003-02-25,077451886038,229 Lighthouse Bay Way,1934756474,22830156,2023-02-10,1987.3
