account_number,transaction_date,transaction_value,balance
10005367,2023-01-31,,728.25
10011977,2023-01-31,,676.54
10024680,2023-01-31,,567.46
10031238,2023-01-31,,576.52
10034341,2023-01-31,,390.39
10079965,2023-01-31,,799.27
10091076,2023-01-31,,831.83
10231977,2023-01-31,,61.63
10232603,2023-01-31,,732.55
10243581,2023-01-31,,104.27
10271519,2023-01-31,,50.02
10273387,2023-01-31,,581.83
10288821,2023-01-31,,642.41
10295384,2023-01-31,,153.85
10350324,2023-01-31,,861.81
10437896,2023-01-31,,661.08
10449180,2023-01-31,,228.24
10464544,2023-01-31,,755.99
10473116,2023-01-31,,387.7
10521885,2023-01-31,,54.87
10553619,2023-01-31,,756.2
10554116,2023-01-31,,243.95
10586481,2023-01-31,,73.83
10608220,2023-01-31,,632.92
10631690,2023-01-31,,947.45
10675607,2023-01-31,,284.84
10725127,2023-01-31,,984.69
10769769,2023-01-31,,906.91
10783139,2023-01-31,,992.98
10799356,2023-01-31,,915.04
10819898,2023-01-31,,750.25
10842511,2023-01-31,,651.77
10847941,2023-01-31,,40.25
10864084,2023-01-31,,119.98
10942334,2023-01-31,,55.42
10949168,2023-01-31,,471.8
10989769,2023-01-31,,334.18
11008868,2023-01-31,,271.3
11026937,2023-01-31,,303.44
11061291,2023-01-31,,72.7
11067879,2023-01-31,,481.56
11110085,2023-01-31,,861.29
11150945,2023-01-31,,858.83
11228111,2023-01-31,,130.36
11242986,2023-01-31,,344.68
11251776,2023-01-31,,504.02
11302888,2023-01-31,,458.83
11306584,2023-01-31,,522.4
11333185,2023-01-31,,693.23
11346696,2023-01-31,,661.99
11359678,2023-01-31,,837.17
11360263,2023-01-31,,136.79
11368995,2023-01-31,,565.8
11437275,2023-01-31,,115.34
11438427,2023-01-31,,484.08
11463412,2023-01-31,,342.53
11475827,2023-01-31,,363.88
11522216,2023-01-31,,590.37
11662506,2023-01-31,,573.89
11694020,2023-01-31,,379.2
11717885,2023-01-31,,6.06
11728970,2023-01-31,,711.65
11736814,2023-01-31,,381.51
11744491,2023-01-31,,105.92
11764022,2023-01-31,,286.66
11778031,2023-01-31,,514.7
11790056,2023-01-31,,49.7
11804173,2023-01-31,,353.62
11826060,2023-01-31,,782.13
11831265,2023-01-31,,292.14
11836917,2023-01-31,,650.14
11846043,2023-01-31,,915.59
11882775,2023-01-31,,299.41
11910409,2023-01-31,,241.22
11928523,2023-01-31,,818.51
12035637,2023-01-31,,461.35
12042151,2023-01-31,,336.44
12088180,2023-01-31,,656.51
12099406,2023-01-31,,681.11
12111805,2023-01-31,,890.99
12172627,2023-01-31,,550.41
12185627,2023-01-31,,873.23
12198380,2023-01-31,,445.46
12199229,2023-01-31,,804.0
12233762,2023-01-31,,386.05
12240007,2023-01-31,,894.48
12241820,2023-01-31,,207.29
12388837,2023-01-31,,463.31
12420291,2023-01-31,,578.47
12423613,2023-01-31,,459.18
12440230,2023-01-31,,842.67
12493067,2023-01-31,,404.61
12494185,2023-01-31,,762.16
12499656,2023-01-31,,96.27
12560453,2023-01-31,,85.03
12583269,2023-01-31,,910.46
12666385,2023-01-31,,554.24
12680102,2023-01-31,,674.64
12725274,2023-01-31,,26.19
12859818,2023-01-31,,151.06
12899540,2023-01-31,,957.2
12964138,2023-01-31,,557.04
12985543,2023-01-31,,402.94
13058003,2023-01-31,,218.0
13076932,2023-01-31,,419.47
13117442,2023-01-31,,799.69
13167285,2023-01-31,,301.93
13176075,2023-01-31,,67.3
13182613,2023-01-31,,384.42
13197335,2023-01-31,,625.71
13267945,2023-01-31,,299.77
13274987,2023-01-31,,902.06
13277127,2023-01-31,,793.22
13322659,2023-01-31,,690.27
13388069,2023-01-31,,13.45
13426667,2023-01-31,,70.47
13459523,2023-01-31,,814.31
13474543,2023-01-31,,438.36
13537427,2023-01-31,,556.98
13551717,2023-01-31,,26.95
13558846,2023-01-31,,598.45
13563384,2023-01-31,,952.65
13584908,2023-01-31,,162.0
13610259,2023-01-31,,587.73
13687711,2023-01-31,,757.76
13713704,2023-01-31,,1.48
13788234,2023-01-31,,302.78
13945841,2023-01-31,,339.81
13965360,2023-01-31,,299.46
13997603,2023-01-31,,516.79
14000447,2023-01-31,,443.94
14014401,2023-01-31,,554.46
14039438,2023-01-31,,94.52
14045416,2023-01-31,,265.63
14052052,2023-01-31,,915.74
14086187,2023-01-31,,340.59
14103210,2023-01-31,,369.01
14136082,2023-01-31,,219.84
14144267,2023-01-31,,97.69
14183437,2023-01-31,,779.47
14253152,2023-01-31,,43.85
14337606,2023-01-31,,561.8
14355869,2023-01-31,,329.16
14397662,2023-01-31,,363.51
14421453,2023-01-31,,813.76
14448009,2023-01-31,,958.46
14505806,2023-01-31,,689.25
14564252,2023-01-31,,263.39
14592080,2023-01-31,,245.22
14594928,2023-01-31,,470.64
14600288,2023-01-31,,622.77
14648004,2023-01-31,,236.67
14685853,2023-01-31,,45.2
14723713,2023-01-31,,378.07
14749214,2023-01-31,,194.54
14780986,2023-01-31,,180.2
14812157,2023-01-31,,534.54
14840078,2023-01-31,,584.16
14866733,2023-01-31,,249.35
14897645,2023-01-31,,89.0
14907946,2023-01-31,,845.72
15033812,2023-01-31,,504.58
15044055,2023-01-31,,204.3
15052808,2023-01-31,,786.05
15055504,2023-01-31,,339.94
15077298,2023-01-31,,507.62
15100785,2023-01-31,,934.1
15163829,2023-01-31,,458.6
15258886,2023-01-31,,689.34
15265650,2023-01-31,,147.72
15265700,2023-01-31,,829.86
15290238,2023-01-31,,93.23
15296624,2023-01-31,,731.68
15324178,2023-01-31,,833.62
15334737,2023-01-31,,197.12
15377274,2023-01-31,,902.14
15428008,2023-01-31,,131.02
15468532,2023-01-31,,819.87
15522788,2023-01-31,,154.26
15529292,2023-01-31,,382.95
15563919,2023-01-31,,492.34
15665459,2023-01-31,,68.94
15668160,2023-01-31,,810.02
15732629,2023-01-31,,975.81
15768459,2023-01-31,,997.4
15779976,2023-01-31,,129.01
15793232,2023-01-31,,45.88
15796180,2023-01-31,,755.58
15801209,2023-01-31,,8.84
15805500,2023-01-31,,230.39
15810455,2023-01-31,,81.69
15826579,2023-01-31,,596.77
15830962,2023-01-31,,570.89
15841031,2023-01-31,,579.98
15899774,2023-01-31,,773.38
15914466,2023-01-31,,436.62
15918861,2023-01-31,,781.97
15922706,2023-01-31,,478.87
15944303,2023-01-31,,977.44
15960008,2023-01-31,,455.42
15980710,2023-01-31,,955.7
16013218,2023-01-31,,322.63
16026987,2023-01-31,,772.57
16030234,2023-01-31,,174.55
16063411,2023-01-31,,896.73
16067516,2023-01-31,,494.33
16087504,2023-01-31,,56.65
16093178,2023-01-31,,96.62
16118153,2023-01-31,,829.58
16124993,2023-01-31,,148.14
16152779,2023-01-31,,65.09
16157014,2023-01-31,,858.73
16181964,2023-01-31,,979.44
16191280,2023-01-31,,825.86
16223952,2023-01-31,,222.18
16229373,2023-01-31,,256.89
16270746,2023-01-31,,904.31
16306280,2023-01-31,,921.83
16312979,2023-01-31,,833.92
16334793,2023-01-31,,297.75
16453812,2023-01-31,,356.9
16506904,2023-01-31,,602.17
16584745,2023-01-31,,129.46
16628269,2023-01-31,,27.11
16633794,2023-01-31,,263.05
16676577,2023-01-31,,407.24
16927652,2023-01-31,,637.58
16977372,2023-01-31,,675.5
16984772,2023-01-31,,823.43
17024652,2023-01-31,,918.84
17039422,2023-01-31,,941.44
17051223,2023-01-31,,558.16
17085651,2023-01-31,,945.51
17138963,2023-01-31,,131.95
17144855,2023-01-31,,355.14
17191420,2023-01-31,,717.28
17228160,2023-01-31,,567.87
17264146,2023-01-31,,345.33
17284705,2023-01-31,,145.59
17301178,2023-01-31,,311.47
17434670,2023-01-31,,148.92
17469776,2023-01-31,,443.18
17483941,2023-01-31,,483.81
17533114,2023-01-31,,274.53
17534364,2023-01-31,,758.41
17543122,2023-01-31,,681.64
17644586,2023-01-31,,222.45
17648252,2023-01-31,,75.02
17669623,2023-01-31,,163.19
17692892,2023-01-31,,457.79
17722231,2023-01-31,,944.22
17749893,2023-01-31,,889.45
17810734,2023-01-31,,348.22
17840180,2023-01-31,,557.56
17868317,2023-01-31,,706.58
17881363,2023-01-31,,415.27
17925406,2023-01-31,,393.37
17933377,2023-01-31,,189.05
17938672,2023-01-31,,904.99
17939571,2023-01-31,,396.93
17983851,2023-01-31,,849.24
18046225,2023-01-31,,205.83
18052851,2023-01-31,,672.09
18095448,2023-01-31,,73.28
18133554,2023-01-31,,733.1
18179400,2023-01-31,,768.78
18185362,2023-01-31,,609.36
18198770,2023-01-31,,108.23
18305932,2023-01-31,,834.42
18308848,2023-01-31,,570.65
18346988,2023-01-31,,450.36
18348734,2023-01-31,,579.93
18447548,2023-01-31,,574.24
18451683,2023-01-31,,501.75
18517970,2023-01-31,,709.95
18563743,2023-01-31,,649.46
18582171,2023-01-31,,732.99
18584434,2023-01-31,,877.81
18645136,2023-01-31,,554.87
18685463,2023-01-31,,476.02
18718399,2023-01-31,,716.22
18850031,2023-01-31,,191.3
18859451,2023-01-31,,441.04
18899132,2023-01-31,,244.46
18928638,2023-01-31,,150.95
19001745,2023-01-31,,507.55
19094015,2023-01-31,,548.65
19154395,2023-01-31,,274.06
19160862,2023-01-31,,211.53
19201987,2023-01-31,,624.55
19216744,2023-01-31,,123.53
19220216,2023-01-31,,628.89
19242274,2023-01-31,,65.28
19283264,2023-01-31,,301.31
19315124,2023-01-31,,447.16
19317267,2023-01-31,,51.87
19334563,2023-01-31,,525.45
19387921,2023-01-31,,927.28
19429964,2023-01-31,,694.43
19432211,2023-01-31,,24.19
19524427,2023-01-31,,579.16
19530097,2023-01-31,,960.21
19559937,2023-01-31,,727.4
19574610,2023-01-31,,104.29
19647966,2023-01-31,,849.89
19686460,2023-01-31,,416.7
19705767,2023-01-31,,997.48
19789505,2023-01-31,,893.9
19836996,2023-01-31,,245.14
19876635,2023-01-31,,883.25
19920990,2023-01-31,,70.95
19931073,2023-01-31,,404.96
19956941,2023-01-31,,723.33
19980716,2023-01-31,,432.98
20015298,2023-01-31,,953.82
20067958,2023-01-31,,38.05
20090784,2023-01-31,,482.62
20117480,2023-01-31,,70.97
