Account Number;Balance Date;Transaction Value;Balance;date
44873253;1900-01-00;-113.43;522.41;1900-01-00
17938672;01/02/2023;102.95;1007.94;2023-02-01
29358670;13/02/2023;-56.85;-39.49;2023-02-13
32803222;13/02/2023;96.06;1059.24;2023-02-13
83975923;31/01/2023;;837.45;2023-01-31
68786878;14/02/2023;-58.68;643.02;2023-02-14
90745743;11/02/2023;-9.21;424.9;2023-02-11
56458213;31/01/2023;;731.3;2023-01-31
35721788;07/02/2023;166.27;2409.91;2023-02-07
50161801;31/01/2023;;180.69;2023-01-31
42017456;04/02/2023;-132.12;759.57;2023-02-04
98886699;31/01/2023;;300.31;2023-01-31
22846221;31/01/2023;;868.2;2023-01-31
11067879;07/02/2023;-123.45;-49.88;2023-02-07
27870202;03/02/2023;111.04;397.21;2023-02-03
27596004;01/02/2023;36.3;1704.1;2023-02-01
95642341;01/02/2023;546.3;1242.18;2023-02-01
55513887;02/02/2023;-116.43;606.02;2023-02-02
12111805;14/02/2023;-94.45;491.41;2023-02-14
10295384;03/02/2023;10.64;164.49;2023-02-03
97970258;31/01/2023;;309.14;2023-01-31
35177782;11/02/2023;99.42;280.83;2023-02-11
90118682;13/02/2023;-4.66;1.54;2023-02-13
15334737;07/02/2023;63.12;301.05;2023-02-07
84366763;31/01/2023;;734.48;2023-01-31
82303710;14/02/2023;208;1043.44;2023-02-14
31557275;11/02/2023;-166.3;56.94;2023-02-11
12423613;02/02/2023;-1805.5;-1346.32;2023-02-02
44130477;08/02/2023;137.66;1611.89;2023-02-08
73410227;12/02/2023;-107.09;584.54;2023-02-12
14086187;04/02/2023;146.29;1204.21;2023-02-04
29631870;02/02/2023;78.61;1911.6;2023-02-02
57300901;12/02/2023;100.81;-835.29;2023-02-12
63959769;12/02/2023;-541.9;464.71;2023-02-12
38991889;12/02/2023;129;102.02;2023-02-12
22696687;08/02/2023;-79.86;206.66;2023-02-08
69533742;01/02/2023;1397.4;2209.6;2023-02-01
62477219;08/02/2023;-99.5;616.17;2023-02-08
58306431;31/01/2023;;576.56;2023-01-31
30030650;31/01/2023;;414.27;2023-01-31
89438779;12/02/2023;-69.44;297.43;2023-02-12
90090889;12/02/2023;-190.9;-815.98;2023-02-12
81267006;31/01/2023;;425.16;2023-01-31
18718399;10/02/2023;1800.7;3011.38;2023-02-10
25522226;06/02/2023;-161.37;1770.35;2023-02-06
67029298;07/02/2023;21.61;1009.51;2023-02-07
83854141;05/02/2023;26.38;107.93;2023-02-05
25110012;09/02/2023;-118.7;56.16;2023-02-09
54067346;11/02/2023;-158.58;1903.45;2023-02-11
78807944;13/02/2023;92.53;576.03;2023-02-13
86788651;31/01/2023;;593.38;2023-01-31
65579734;12/02/2023;-156.13;1173.92;2023-02-12
80811957;13/02/2023;40.65;154.3;2023-02-13
85493851;06/02/2023;1.46;676.78;2023-02-06
78343618;31/01/2023;;30.43;2023-01-31
80355773;03/02/2023;-5.38;985.49;2023-02-03
21032760;13/02/2023;161.21;-2738.42;2023-02-13
30227774;09/02/2023;89.75;584.16;2023-02-09
43830772;31/01/2023;;158.17;2023-01-31
82263080;03/02/2023;-180.52;748.02;2023-02-03
67987326;31/01/2023;;161.67;2023-01-31
61555609;13/02/2023;1503.2;1845.6;2023-02-13
21719977;31/01/2023;;758.81;2023-01-31
59984692;14/02/2023;7.29;-221.94;2023-02-14
71183710;31/01/2023;;989.68;2023-01-31
62362650;05/02/2023;118.78;432.7;2023-02-05
30929422;31/01/2023;;161.53;2023-01-31
53089607;12/02/2023;-137.14;724.49;2023-02-12
64303157;06/02/2023;-128.12;560.94;2023-02-06
27193025;10/02/2023;44.74;114.57;2023-02-10
59198134;13/02/2023;-135.45;51.48;2023-02-13
21655728;11/02/2023;56.37;817.68;2023-02-11
21475060;12/02/2023;-1061.5;-1215.84;2023-02-12
33749113;12/02/2023;126.93;348.13;2023-02-12
73015538;09/02/2023;107.47;140.71;2023-02-09
26115121;03/02/2023;-84.79;526.49;2023-02-03
23935849;14/02/2023;42.9;1226.4;2023-02-14
33967237;01/02/2023;142.15;466.95;2023-02-01
20991411;06/02/2023;-111.33;461.31;2023-02-06
14448009;02/02/2023;122.38;1014.53;2023-02-02
18348734;02/02/2023;-950.2;-517.85;2023-02-02
18584434;05/02/2023;-122.62;635.1;2023-02-05
28247818;07/02/2023;126.45;418.13;2023-02-07
56189750;07/02/2023;-121.65;243.83;2023-02-07
16030234;01/02/2023;-189.32;-107.58;2023-02-01
81340143;31/01/2023;;647.34;2023-01-31
22888798;08/02/2023;-53.66;566.64;2023-02-08
43811112;02/02/2023;-97.69;2.23;2023-02-02
67938929;03/02/2023;-61.92;791.17;2023-02-03
70385129;31/01/2023;;252.45;2023-01-31
70925461;08/02/2023;-103.89;208.68;2023-02-08
39161053;14/02/2023;-114.68;839.71;2023-02-14
68346907;08/02/2023;43.89;-203.57;2023-02-08
45706674;31/01/2023;;390.73;2023-01-31
60730902;10/02/2023;192.26;151.87;2023-02-10
43329727;04/02/2023;-96.31;381.38;2023-02-04
42726928;12/02/2023;187.21;552.06;2023-02-12
56116199;31/01/2023;;615.98;2023-01-31
41036701;09/02/2023;109.88;-443.43;2023-02-09
76857747;31/01/2023;;952.88;2023-01-31
35405748;02/02/2023;1666;1685.49;2023-02-02
92232319;10/02/2023;67.69;195.22;2023-02-10
25522226;11/02/2023;158.64;2110.86;2023-02-11
67938929;03/02/2023;110.43;853.09;2023-02-03
28976546;05/02/2023;59.2;384.62;2023-02-05
89369216;06/02/2023;-87.82;275.16;2023-02-06
44272912;07/02/2023;-18.61;1030.11;2023-02-07
46561814;07/02/2023;-185.39;89.17;2023-02-07
12199229;11/02/2023;-31.4;742.13;2023-02-11
66667727;04/02/2023;-201.15;522.75;2023-02-04
50463777;04/02/2023;-83.95;59.5;2023-02-04
30110747;10/02/2023;-37.83;765.29;2023-02-10
14144267;06/02/2023;44.47;142.16;2023-02-06
