student_id,full_name,date_of_birth,region,school_name,english,science,maths,grade_score,subject_selection,school_status
16269,BEVERLIE ANTONI,2007-02-21,WEST,Villiers Hill,A,A,A,150,Psychology,Low Performing
16170,JOURDAIN STILES,2007-02-22,WEST,Villiers Hill,A,A,A,150,Business Management,Low Performing
17579,CONSALVE DRABBLE,2007-08-12,EAST,Evergreen School,A,A,A,150,Computer Science,Average Performing
16894,GLEN LIBREY,2007-03-12,WEST,Riverbank School,A,A,A,150,Business Management,Average Performing
18798,MYRILLA LEADSTON,2006-12-13,EAST,Waterview Academy,A,A,A,150,Computer Science,High Performing
15368,FELICDAD DONE,2007-07-07,WEST,St. Mary's,A,A,A,150,Data Analytics,High Performing
15804,KLARA MALY,2007-06-26,WEST,Eight Kings,A,A,A,150,Business Management,Average Performing
15108,ORAZIO STOKER,2007-04-25,WEST,Park Road Secondary,A,A,A,150,Computer Science,Average Performing
17438,FRANK SYMINGTON,2006-10-02,EAST,Evergreen School,A,A,A,150,Computer Science,Average Performing
17601,LYNN PITKEATHLY,2007-04-13,EAST,Southbridge Secondary,A,A,A,150,Computer Science,Average Performing
17985,BROCKIE GORCE,2007-01-24,EAST,Oak Valley,A,A,A,150,Engineering,Average Performing
18738,JOSHUA EVILL,2006-12-13,EAST,Waterview Academy,A,A,A,150,Engineering,High Performing
15889,TAMARA ROSENGREN,2007-06-26,WEST,Eight Kings,A,A,A,150,Data Analytics,Average Performing
18492,ERV ARROW,2007-03-17,EAST,Park View,A,A,A,150,Computer Science,Average Performing
15310,SUMNER COUGHTREY,2007-06-14,WEST,St. Mary's,A,A,A,150,Engineering,High Performing
17559,AVIE BABBE,2006-12-19,EAST,Evergreen School,A,A,A,150,Business Management,Average Performing
18874,MOSHE LEARMOUTH,2007-05-14,EAST,Waterview Academy,A,A,A,150,Computer Science,High Performing
17660,VIOLA PINCKSTONE,2006-09-08,EAST,Southbridge Secondary,A,A,A,150,Data Analytics,Average Performing
17893,REMINGTON PEARMAN,2007-01-23,EAST,Southbridge Secondary,A,A,A,150,Engineering,Average Performing
17666,OTIS BRAHAN,2007-04-15,EAST,Southbridge Secondary,A,A,A,150,Data Analytics,Average Performing
18513,CORNELIUS BARTHELME,2006-11-27,EAST,Waterview Academy,A,A,A,150,Business Management,High Performing
16340,FRANCISCA PLAISTOWE,2007-04-23,WEST,Long Road School,A,A,A,150,Business Management,Average Performing
16572,SHEFF DOLDON,2007-01-15,WEST,Riverbank School,A,A,A,150,Computer Science,Average Performing
17276,MIKAELA DORRINGTON,2007-04-19,EAST,Vista Academy,A,A,A,150,Business Management,Low Performing
17293,CHAUNCEY FARDO,2007-08-07,EAST,Vista Academy,A,A,B,140,Data Analytics,Low Performing
16469,WYNNE O'HOOLAHAN,2007-04-03,WEST,Long Road School,A,B,A,140,Computer Science,Average Performing
15542,MILL EASTHOPE,2007-01-17,WEST,St. Mary's,B,A,A,140,Engineering,High Performing
15766,TANDY CHALLICUM,2007-08-13,WEST,Eight Kings,A,B,A,140,Business Management,Average Performing
18538,BEVVY JACOBOVITZ,2007-04-07,EAST,Waterview Academy,B,A,A,140,Business Management,High Performing
17573,EDITH FOSKEN,2006-11-19,EAST,Evergreen School,A,B,A,140,Psychology,Average Performing
15367,BEVERLY HACKSBY,2007-07-06,WEST,St. Mary's,B,A,A,140,Psychology,High Performing
15285,LOREN BECKERS,2007-05-07,WEST,Park Road Secondary,B,A,A,140,Engineering,Average Performing
15021,LOU BRITTLE,2007-02-19,WEST,Park Road Secondary,B,A,A,140,Psychology,Average Performing
16435,MELODY EBLE,2006-09-16,WEST,Long Road School,B,A,A,140,Data Analytics,Average Performing
16884,FONSIE BRAVERY,2007-03-28,WEST,Riverbank School,B,A,A,140,Psychology,Average Performing
15477,WOLF MURRIGANS,2006-11-10,WEST,St. Mary's,A,A,B,140,Psychology,High Performing
17937,MINNAMINNIE TERZO,2007-02-23,EAST,Oak Valley,B,A,A,140,Business Management,Average Performing
18896,HARMAN JOYCE,2006-09-07,EAST,Waterview Academy,B,A,A,140,Engineering,High Performing
