id,first_name,last_name,gender,age,track_event,time,benchmark,rank
6,Ganny,Blouet,M,8,100m,14.31,15.0,1
83,Kevon,Hannum,M,10,200m,25.05,29.0,1
127,Gradey,Slevin,M,9,100m,14.31,14.5,1
236,Celeste,Kendred,F,8,100m,14.43,16.0,2
262,Parker,Texton,M,8,200m,25.51,31.0,2
100,Brodie,Terris,M,9,200m,25.81,30.0,3
99,Ogden,Scammonden,M,8,200m,25.92,31.0,4
263,Randall,Valentinetti,M,8,200m,26.02,31.0,5
131,Silvia,Viggers,F,10,200m,26.13,30.0,6
14,Arliene,Bonsul,F,10,200m,26.64,30.0,7
5,Linzy,Barock,F,11,200m,27.0,29.0,8
255,Ira,Gabbatt,M,8,200m,27.06,31.0,9
148,Matilde,Andersch,F,9,200m,27.12,31.0,10
82,Sherie,Cluatt,F,11,200m,27.56,29.0,11
157,Zena,Duckers,F,8,200m,27.79,32.0,12
207,Danila,Spiniello,F,11,200m,27.85,29.0,13
104,Faun,Gebhard,F,11,200m,27.87,29.0,14
185,Sheree,Wedgwood,F,10,200m,27.99,30.0,15
144,Angy,Wyeth,F,11,200m,28.01,29.0,16
195,Darcey,Cordon,F,10,200m,28.04,30.0,17
184,Bobina,Simoncelli,F,8,200m,28.33,32.0,18
202,Kelsey,Fearnsides,F,8,200m,28.57,32.0,19
282,Maggie,Potteridge,F,8,200m,28.6,32.0,20
254,Carri,Skellern,F,10,200m,28.78,30.0,21
113,Gipsy,O'Regan,F,11,200m,28.86,29.0,22
287,Jessie,Lindborg,F,10,200m,29.2,30.0,23
269,Barbabas,Horick,M,9,200m,29.65,30.0,24
49,Garland,Pimbley,F,9,200m,29.71,31.0,25
60,Rowney,Tidbold,M,8,200m,29.89,31.0,26
55,Brnaba,Fatkin,M,8,200m,30.37,31.0,27
286,Bessy,Dand,F,8,200m,30.74,32.0,28
