employee_id,guid,gen_name,first_name,last_name,nationality,gender,email,hire_date,leave_date,date_of_birth
E00001,44eca9c9-0081-4d69-906e-73285b7f6dd2,Generation Z (1997-2012),Terry,Cooper,US,male,terry.cooper@example.com,2022-09-07,2022-08-30,1999-05-17
E00003,16d3207c-8a95-4abb-9d6b-46215ab73d83,Generation Z (1997-2012),William,Phillips,GB,male,william.phillips@example.com,2023-03-20,2023-06-20,1998-08-14
E00006,afededdb-6441-423b-9917-872e22597dd5,Generation Z (1997-2012),Patsy,Davis,US,female,patsy.davis@example.com,2022-09-04,2023-06-10,2000-11-06
E00007,a55792b2-b0ac-464e-bcd9-68865662156b,Generation Z (1997-2012),Florence,Hart,GB,female,florence.hart@example.com,2022-04-22,,2000-12-03
E00009,3af26094-7a1a-4bd9-ad56-a158670fb732,Generation Z (1997-2012),Jayden,Wells,US,male,jayden.wells@example.com,2023-03-17,,2000-10-16
E00011,8ba61159-e327-4668-84c2-bafa9d87bca3,Generation Z (1997-2012),Nathaniel,Bryant,GB,male,nathaniel.bryant@example.com,2021-05-17,,1999-12-01
E00013,243106b5-fdf6-48d8-a776-2cba0f2101bd,Generation Z (1997-2012),Oscar,Payne,GB,male,oscar.payne@example.com,2022-07-08,,1999-12-26
E00014,e83cd918-d05c-4ba8-93a6-da8a73ca6f96,Generation Z (1997-2012),Phoebe,Harper,GB,female,phoebe.harper@example.com,2021-11-29,2021-09-22,1998-08-09
E00020,dedf7fc9-688a-4cf1-a719-f1be2efe10e5,Generation Z (1997-2012),Abbie,Patterson,GB,female,abbie.patterson@example.com,2020-02-08,2020-04-03,2000-04-23
E00023,01f29354-58dc-4064-8410-018ff04c7558,Generation Z (1997-2012),Barbara,Ferguson,GB,female,barbara.ferguson@example.com,2020-09-15,2022-09-29,2001-04-21
E00024,57fc2d5f-1d5f-4265-b713-1e390bec532d,Generation Z (1997-2012),Kelly,Barnett,GB,male,kelly.barnett@example.com,2023-03-18,,1999-02-26
E00034,7beab3c0-a02e-4064-ada7-735d388253ce,Generation Z (1997-2012),Alessio,Brun,FR,male,alessio.brun@example.com,2022-07-29,2021-12-19,1998-12-06
E00037,c325bdb4-23b2-42f4-a843-6bb758e1873e,Generation Z (1997-2012),Michelle,Jones,US,female,michelle.jones@example.com,2021-04-02,2022-08-29,1999-08-22
E00038,2b35fc1b-522e-4f7a-aea6-1706a93e2824,Generation Z (1997-2012),Ellie,Mitchell,GB,female,ellie.mitchell@example.com,2023-04-24,,1998-05-31
E00039,6fda7c01-eb5c-4683-b7f4-89113ac98ddf,Generation Z (1997-2012),Angie,Clark,GB,female,angie.clark@example.com,2021-04-23,,2000-09-03
E00043,774c9d3f-4911-4dbb-8574-10cf56777a6b,Generation Z (1997-2012),Harvey,Mitchelle,GB,male,harvey.mitchelle@example.com,2023-03-27,2022-06-24,2001-01-03
E00045,84738036-ca7a-4377-956b-01306538db1d,Generation Z (1997-2012),Alicia,Macdonald,CA,female,alicia.macdonald@example.com,2023-01-30,,1999-06-18
E00048,d8ef1d37-0a9c-4e59-adf6-714a14949cd9,Generation Z (1997-2012),Dwayne,Watson,GB,male,dwayne.watson@example.com,2022-04-28,2021-08-31,1999-10-24
E00051,d8fb5b95-1f16-455a-8074-4bf2f2a36d9f,Generation Z (1997-2012),Edward,Hale,GB,male,edward.hale@example.com,2023-01-30,,2000-03-01
E00055,8c431039-bb93-4bb1-82ec-6928ffaa0907,Generation Z (1997-2012),Earl,Graham,GB,male,earl.graham@example.com,2020-01-21,2022-03-14,1999-07-14
E00068,39520f85-a502-4103-ba0c-90fea1adc171,Generation Z (1997-2012),Archie,Evans,NZ,male,archie.evans@example.com,2023-04-29,,2001-05-10
E00071,f8cbda5b-81ed-40ac-919f-43b57115ade6,Generation Z (1997-2012),Ian,Rose,US,male,ian.rose@example.com,2020-09-03,,2000-11-19
E00076,495741df-5fd2-42bc-96fb-0b2cbab72a58,Generation Z (1997-2012),Marlinde,Van Doorne,NL,female,marlinde.vandoorne@example.com,2023-06-22,,2000-04-02
E00077,ce9e8a3b-01cb-4677-badd-d776b96de02d,Generation Z (1997-2012),Brooklyn,Prescott,US,female,brooklyn.prescott@example.com,2018-04-02,2019-06-13,2000-05-12
